,latent_vector,label,filename
0,"[-0.37295225, 0.1850611, -0.50020903, -0.92559195, 2.2633052, -0.4655485, 0.7377501, 1.1249914, 1.2935675, -1.157698]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_060.nc
1,"[2.457572, 0.9184557, -0.4504189, -0.42798728, 0.53819096, -1.0424871, 0.5043957, 0.93855095, -0.68545526, -0.8811586]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_009.nc
2,"[0.30972397, -2.3977685, 2.3789244, 0.5713955, -0.9502672, 2.0495667, -1.3891854, -1.8292233, 0.5193705, 0.55240613]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_084.nc
3,"[1.8944263, 0.18949237, 0.6431831, 0.6365563, 0.88670886, 0.6861882, -0.33687025, -0.7253571, -1.1551979, -1.2313652]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_116.nc
4,"[-0.8249778, 1.2375753, -1.1166339, -0.64325845, -0.64414895, -1.0474895, 0.41852733, 0.69797695, 0.26587448, 0.47596875]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_203.nc
5,"[2.0879762, -0.53365684, 1.0440656, -0.15935382, 0.8899548, 0.5361897, 0.06826815, -1.0264487, -1.8952209, 0.82045436]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_103.nc
6,"[0.62050897, -0.74304354, 1.1986265, 0.22642939, -0.66704416, 0.97501755, -0.40817106, -1.4653757, -0.93428504, 1.9029528]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_063.nc
7,"[-0.05547952, -1.6620251, 2.0232167, 0.56934434, -0.24345374, 2.003683, -1.5719264, -1.3249497, 0.16743578, -0.49205813]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_062.nc
8,"[-3.1321127, -0.037848115, 0.21701929, 0.43404663, -0.60802925, 1.0523608, -0.8114404, 0.010087043, 0.2926923, 0.5865635]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_145.nc
9,"[-0.21693556, 0.7390742, 0.040283754, 0.6199579, 0.42183173, 0.49578533, -0.36354905, 0.38996264, -1.0608561, -1.0976648]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_074.nc
10,"[-0.2792428, 1.437464, -1.0876498, -0.2126736, -1.5905353, -0.94879544, 0.28693345, 0.15132993, -0.39791775, 1.2615489]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_214.nc
11,"[-0.25743905, 0.42228374, -1.0155452, -0.97963953, 0.10158843, -1.1032015, 1.1393201, 0.4709908, 0.7279345, 1.1210096]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_019.nc
12,"[-1.2105796, -0.37405485, 1.0176157, 1.157907, -0.99782777, 1.5121051, -1.3274605, 0.072259635, -1.7391595, 0.05780428]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_243.nc
13,"[-0.10559944, -1.2722518, 1.2364825, -0.44727147, 0.0240345, 0.9403405, -0.11431104, -1.7166076, -0.22218211, 2.509353]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_082.nc
14,"[0.2122648, -2.413899, 2.1837654, -0.34142596, 1.6063722, 1.9616132, -0.889306, -1.9224808, 1.6500418, -1.5876878]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_081.nc
15,"[0.89204293, 1.5953349, -0.848976, -0.15806235, -1.0668936, -1.1410367, 0.119440824, 0.88648546, -1.2558217, -0.2560342]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_199.nc
16,"[-1.2128353, 0.38249248, 0.07128084, 0.44568694, -0.73256576, 0.6847096, -0.23345548, -0.7116737, 0.9640622, 0.2237584]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_230.nc
17,"[-0.4663364, -2.0055757, 2.4262826, 0.8028031, 0.46312448, 2.5430348, -2.1976194, -0.32682768, -0.7288876, -2.5381925]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_194.nc
18,"[-0.4972584, 0.56779766, -1.099469, -0.9837434, 0.21773165, -1.2134281, 0.984316, 0.9001925, 0.89768916, 0.38434112]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_155.nc
19,"[1.1172059, -2.4909053, 2.2534118, -0.68588734, 2.2101088, 1.6609758, -0.5916987, -2.0106554, 1.2627362, -1.5315125]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_132.nc
20,"[-1.3056862, -0.66195214, 1.2636923, 1.2900109, -1.7195724, 1.7145227, -1.3896449, -0.07939595, -0.41384244, -0.41797355]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_099.nc
21,"[0.5802981, -1.8632048, 1.5874851, -0.5479055, 1.1733903, 1.1983064, -0.15443063, -1.9693527, 1.8168298, -0.7288846]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_077.nc
22,"[0.5823396, 0.34888184, 0.042473987, -0.38845316, 1.7232077, 0.3218633, 0.33323503, -0.55851734, 0.56097674, -0.594231]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_016.nc
23,"[0.25626197, 0.16073439, 0.51858723, 0.7703315, -0.06756276, 0.7987033, -0.24864233, 0.002723664, -1.0703113, -0.850157]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_106.nc
24,"[2.190222, 0.01156491, -0.2894916, -0.7872895, 1.8303167, -0.6139147, 0.97825223, 0.1315592, 0.41966492, -0.12681615]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_143.nc
25,"[-1.9014614, 0.34766203, -0.066846184, 0.14268155, -0.355546, 0.45988274, -0.18623614, -0.36751294, -0.051713645, 1.3613069]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_237.nc
26,"[-1.1573336, 1.0311992, -0.31643644, 0.21409248, 0.40925676, 0.18628247, -0.33216566, 0.590379, -0.7286696, -0.9943719]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_244.nc
27,"[3.1279526, 0.34362486, 0.4239017, 0.52087486, -0.03202957, 0.08199305, 0.09545854, -1.2116873, -1.2754353, 0.3694198]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_195.nc
28,"[1.6097777, -0.9149895, 0.32956517, -0.851354, 0.7156743, -0.146954, 1.1406865, -1.0841045, 0.43741822, 1.9191824]",7,../data/subset-copy/eastpac2_goes16_2017_331_1900_051.nc
29,"[0.70752335, 0.35497412, 0.5981078, 1.3683589, -1.9034818, 0.715188, -0.6205184, -0.35386133, -1.8723925, 0.8435029]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_133.nc
30,"[-0.36356223, 0.13052088, -0.44500113, -0.7067434, 1.5808731, -0.15965143, 0.81514466, 0.27860174, 1.0283719, -0.14431089]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_003.nc
31,"[3.8759937, -0.32339668, -0.09814131, -0.8032639, 1.7904196, -0.7306013, 1.1328824, -0.61045563, 0.4597308, 0.426908]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_147.nc
32,"[-0.06351147, -0.9210526, 1.1221507, 0.14805599, -1.3979787, 0.85449755, -0.31522644, -1.7706466, -0.84563625, 3.6746035]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_057.nc
33,"[-1.2411036, -1.2495805, 1.5226095, 0.3846407, -0.48703492, 1.6337255, -1.28859, -1.0250642, -0.9089192, 1.2982169]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_196.nc
34,"[0.5209815, -1.052497, 1.7287327, 0.817571, 0.07838446, 1.7176762, -1.3333981, -0.5226626, -1.6282864, -0.9648261]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_193.nc
35,"[-0.54903287, 0.3922094, -0.312074, -0.5178802, 1.3517003, 0.008366376, 0.608261, 0.15892199, 0.6991352, -0.20608631]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_142.nc
36,"[0.38157833, 1.1673166, -1.1364173, -0.7515376, -0.4197222, -1.4370866, 0.51490384, 1.335962, 0.074604295, -0.13111594]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_189.nc
37,"[-2.2067058, -1.966328, 2.1178186, 1.4334564, -1.5088633, 2.5031412, -2.2583048, 0.0056633055, -0.99119365, -0.5169002]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_226.nc
38,"[2.3693004, -0.0013375282, 1.0896614, 1.0668104, 0.424933, 1.0995299, -0.72755986, -0.68597424, -1.5062586, -2.0729928]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_209.nc
39,"[-0.2822957, 0.5379243, -0.22415373, -0.38162982, 1.358026, 0.16351336, 0.42614233, -0.044996887, 0.84498245, -0.5697783]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_076.nc
40,"[-1.2196805, 0.42755312, -0.7457299, -0.9084646, 1.5196927, -0.5764408, 0.67683905, 1.1758337, 1.3597866, -0.89439595]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_042.nc
