,latent_vector
0,"[-1.2373704, 0.1871109]"
1,"[-1.1777301, -0.9989512]"
2,"[-1.3313625, -0.9881129]"
3,"[-1.1743209, -0.19971523]"
4,"[0.85573065, -0.20939395]"
5,"[-1.3427068, -0.81581867]"
6,"[-1.5372045, -1.0406591]"
7,"[0.7569642, 0.48883617]"
8,"[-1.1799575, -0.8677888]"
9,"[-1.3801953, -0.716346]"
10,"[-1.2627097, -0.95061255]"
11,"[-1.3698586, -0.7655556]"
12,"[0.6784122, 1.9316891]"
13,"[0.71409476, 1.9920148]"
14,"[-0.83894193, 0.02828063]"
15,"[0.8623686, 1.8575861]"
16,"[1.3494409, -1.280312]"
17,"[1.1489668, -0.5697026]"
18,"[-1.5112748, -1.082777]"
19,"[-0.20013332, -1.1923939]"
20,"[-1.2216384, -0.9539746]"
21,"[-1.5860112, 0.1710656]"
22,"[2.3078556, 0.44632664]"
23,"[-1.4549334, 0.083294146]"
24,"[-1.7174737, -1.1377283]"
25,"[-0.41534674, -0.71354425]"
26,"[-1.8926014, -0.26563224]"
27,"[-0.9664322, 0.6469226]"
28,"[-1.1207544, 0.044483297]"
29,"[-1.1523018, -0.21331576]"
30,"[0.92772055, -0.34777358]"
31,"[-1.21262, -0.26232782]"
32,"[-0.4505543, -0.5899856]"
33,"[-0.82163686, 0.090790644]"
34,"[-1.5923898, 0.09259756]"
35,"[1.2930275, -0.007719785]"
36,"[0.95726407, -1.6282043]"
37,"[-0.8634591, -0.6122997]"
38,"[0.9101987, -0.6071049]"
39,"[-0.37899333, -0.33330467]"
40,"[1.9050581, -2.0473642]"
41,"[-0.12738329, 1.1559532]"
42,"[-1.2313163, -0.73811555]"
43,"[1.5417576, 1.9155644]"
44,"[-1.1298399, 0.25905746]"
45,"[1.0380142, -0.2679104]"
46,"[-1.4321158, -1.1700945]"
47,"[-1.063592, 0.47221154]"
48,"[-0.87517166, 0.5779648]"
49,"[-1.3104185, -0.28158164]"
50,"[-0.8767003, -0.34417948]"
51,"[-1.1110655, -0.8144115]"
52,"[-0.8511138, 0.13575247]"
53,"[-0.17834333, -1.2325987]"
54,"[-1.1467681, 0.13536341]"
55,"[1.2583541, -0.17882523]"
56,"[0.58138156, 1.9955631]"
57,"[-0.93759537, 0.6620562]"
58,"[1.268318, 1.8726826]"
59,"[-1.1649458, 0.004941866]"
60,"[-1.3781383, -0.40996465]"
61,"[-1.7712463, -1.3557394]"
62,"[0.16746902, -0.13718909]"
63,"[-1.2199664, -0.17003006]"
64,"[1.4885459, 1.8816359]"
65,"[-0.8621099, 0.10276074]"
66,"[-0.13638467, 1.2743349]"
67,"[0.40715325, 2.19646]"
68,"[0.9582187, -0.37812504]"
69,"[0.89365304, 1.7753476]"
70,"[1.0782403, -0.47704408]"
71,"[-0.35345694, -0.45272627]"
72,"[-0.6763883, -0.5291933]"
73,"[0.7250917, 1.8334519]"
74,"[0.04199493, 1.6092733]"
75,"[-0.2138654, -1.0798223]"
76,"[-1.163567, -0.8564013]"
77,"[0.8775089, -1.554078]"
78,"[-0.14443687, 1.4174302]"
79,"[-0.11407575, 1.1628075]"
80,"[-0.6878576, -0.4961333]"
81,"[-0.25285262, 1.3998886]"
82,"[0.65385306, 1.9838463]"
83,"[-1.0535429, 0.3257451]"
84,"[-1.1824226, 0.08609288]"
85,"[1.5977216, 1.9408062]"
86,"[0.24708688, 1.5089828]"
87,"[0.98554707, 1.9239863]"
88,"[0.11099583, 1.3558955]"
89,"[0.7907878, 1.9843023]"
90,"[-0.41693437, -0.7134173]"
91,"[-0.8192632, -0.33494404]"
92,"[-1.7429141, -0.14962465]"
93,"[-0.9134918, -0.24848545]"
94,"[-0.6066023, -0.107082084]"
95,"[-0.39784738, -0.31741637]"
96,"[-1.203154, 0.23066601]"
97,"[-1.8097781, -1.3454722]"
